Date,KO,PEP
2015-01-02,30.437496185302734,69.97862243652344
2015-01-05,30.437496185302734,69.45250701904297
2015-01-06,30.66864585876465,68.9264144897461
2015-01-07,31.05145835876465,70.94193267822266
2015-01-08,31.427045822143555,72.231201171875
2015-01-09,31.08034896850586,71.74217224121094
2015-01-12,30.79865264892578,71.4457778930664
2015-01-13,30.79142951965332,71.39390563964844
2015-01-14,30.74087142944336,71.63099670410156
2015-01-15,30.61084747314453,71.63099670410156
2015-01-16,30.71919822692871,72.09040832519531
2015-01-20,31.17424774169922,72.25343322753906
2015-01-21,31.318695068359375,72.17195129394531
2015-01-22,31.622068405151367,73.28343200683594
2015-01-23,31.282590866088867,73.00923919677734
2015-01-26,31.05867576599121,73.12782287597656
2015-01-27,30.618080139160156,71.6680679321289
2015-01-28,30.278606414794922,70.92709350585938
2015-01-29,30.40861701965332,71.15679931640625
2015-01-30,29.73688316345215,69.48957824707031
2015-02-02,30.040233612060547,70.63809967041016
2015-02-03,30.069122314453125,71.28271484375
2015-02-04,30.10523796081543,71.57913208007812
2015-02-05,30.184701919555664,71.58660125732422
2015-02-06,29.939105987548828,71.6606674194336
2015-02-09,29.78021240234375,71.11231231689453
2015-02-10,30.625308990478516,72.60912322998047
2015-02-11,30.6036319732666,74.39488983154297
2015-02-12,30.45918083190918,74.29855346679688
2015-02-13,30.329164505004883,73.45384216308594
2015-02-17,30.199140548706055,72.88329315185547
2015-02-18,30.141376495361328,73.60205078125
2015-02-19,30.41584587097168,73.1500244140625
2015-02-20,30.314695358276367,73.4019775390625
2015-02-23,30.22803497314453,73.69097137451172
2015-02-24,30.43028450012207,73.78729248046875
2015-02-25,30.372493743896484,73.72803497314453
2015-02-26,30.66864585876465,73.40939331054688
2015-02-27,31.27535629272461,73.34268188476562
2015-03-02,31.20313262939453,73.3575210571289
2015-03-03,31.02256965637207,72.91291809082031
2015-03-04,30.697528839111328,72.62572479248047
2015-03-05,30.625308990478516,72.52876281738281
2015-03-06,29.989681243896484,71.73807525634766
2015-03-09,29.895774841308594,71.64105987548828
2015-03-10,29.39017105102539,70.44010162353516
2015-03-11,28.964021682739258,69.84331512451172
2015-03-12,29.546646118164062,71.39492797851562
2015-03-13,29.065977096557617,70.35804748535156
2015-03-16,29.34273338317871,71.20098114013672
2015-03-17,29.502948760986328,70.21631622314453
2015-03-18,29.56850242614746,70.59677124023438
2015-03-19,29.146085739135742,70.19393920898438
2015-03-20,29.604907989501953,71.11890411376953
2015-03-23,29.583066940307617,71.49933624267578
2015-03-24,29.473817825317383,71.50679779052734
2015-03-25,29.459259033203125,71.05924224853516
2015-03-26,29.386428833007812,71.3352279663086
2015-03-27,29.189786911010742,71.57394409179688
2015-03-30,29.502948760986328,71.99909973144531
2015-03-31,29.53208351135254,71.3277816772461
2015-04-01,29.626766204833984,70.93244171142578
2015-04-02,29.626766204833984,71.37999725341797
2015-04-06,29.983623504638672,71.96928405761719
2015-04-07,29.867095947265625,71.76787567138672
2015-04-08,29.779705047607422,71.63362884521484
2015-04-09,29.89622688293457,71.87232208251953
2015-04-10,29.772411346435547,71.76041412353516
2015-04-13,29.641324996948242,71.26067352294922
2015-04-14,29.502948760986328,71.97677612304688
2015-04-15,29.42284393310547,72.08121490478516
2015-04-16,29.56850242614746,71.9469223022461
2015-04-17,29.350011825561523,71.4695053100586
2015-04-20,29.612199783325195,71.98419189453125
2015-04-21,29.6995906829834,72.19307708740234
2015-04-22,30.085609436035156,72.56607055664062
2015-04-23,29.823396682739258,71.40983581542969
2015-04-24,29.779705047607422,70.99210357666016
2015-04-27,29.736005783081055,70.48484802246094
2015-04-28,29.692302703857422,70.43264770507812
2015-04-29,29.488388061523438,70.40279388427734
2015-04-30,29.539365768432617,70.9548110961914
2015-05-01,29.794265747070312,71.28300476074219
2015-05-04,29.830678939819336,71.57394409179688
2015-05-05,29.677745819091797,71.17858123779297
2015-05-06,29.612199783325195,71.2233657836914
2015-05-07,29.641324996948242,70.97721099853516
2015-05-08,29.845247268676758,72.02152252197266
2015-05-11,29.816118240356445,71.87232208251953
2015-05-12,29.634044647216797,71.76041412353516
2015-05-13,29.89622688293457,71.91708374023438
2015-05-14,30.223953247070312,73.1031494140625
2015-05-15,30.23851776123047,73.26725769042969
2015-05-18,30.092853546142578,73.14043426513672
2015-05-19,30.085609436035156,73.06585693359375
2015-05-20,30.11472511291504,72.87191009521484
2015-05-21,30.027328491210938,72.50638580322266
2015-05-22,30.01275634765625,71.80516815185547
2015-05-26,29.852527618408203,71.45460510253906
2015-05-27,29.947202682495117,71.89469909667969
2015-05-28,29.961763381958008,72.40193939208984
2015-05-29,29.830678939819336,71.93199157714844
2015-06-01,29.816118240356445,71.58885955810547
2015-06-02,29.852527618408203,71.64852142333984
2015-06-03,29.76513671875,71.61322021484375
2015-06-04,29.56121826171875,70.74151611328125
2015-06-05,29.204355239868164,69.92247009277344
2015-06-08,29.248050689697266,69.7646484375
2015-06-09,29.27718734741211,69.93749237060547
2015-06-10,29.371868133544922,70.40339660644531
2015-06-11,29.445295333862305,70.7039566040039
2015-06-12,29.34248924255371,70.44096374511719
2015-06-15,29.070804595947266,69.61437225341797
2015-06-16,29.430606842041016,70.29820251464844
2015-06-17,29.57011604309082,70.67391204833984
2015-06-18,29.849164962768555,71.56062316894531
2015-06-19,29.665576934814453,71.28256225585938
2015-06-22,29.72432518005371,71.83865356445312
2015-06-23,29.650897979736328,71.83865356445312
2015-06-24,29.511377334594727,71.60570526123047
2015-06-25,29.386550903320312,71.26000213623047
2015-06-26,29.37186622619629,71.3201675415039
2015-06-29,28.93128204345703,70.40339660644531
2015-06-30,28.80645179748535,70.14038848876953
2015-07-01,29.00470542907715,71.02709197998047
2015-07-02,28.99736976623535,71.13229370117188
2015-07-06,28.945968627929688,70.9369125366211
2015-07-07,29.555435180664062,72.43984985351562
2015-07-08,29.26905059814453,71.84618377685547
2015-07-09,29.3131160736084,71.07972717285156
2015-07-10,29.658239364624023,71.80108642578125
2015-07-13,29.856494903564453,73.05597686767578
2015-07-14,30.230976104736328,72.98836517333984
2015-07-15,30.20162010192871,72.40222930908203
2015-07-16,30.458621978759766,72.81553649902344
2015-07-17,30.289724349975586,72.72537994384766
2015-07-20,30.38517951965332,73.12361907958984
2015-07-21,30.24567413330078,72.83809661865234
2015-07-22,30.032733917236328,73.01844024658203
2015-07-23,29.98866081237793,72.79299926757812
2015-07-24,29.694950103759766,72.27447509765625
2015-07-27,29.76837730407715,71.88375854492188
2015-07-28,29.775724411010742,72.22189331054688
2015-07-29,29.805089950561523,72.5374984741211
2015-07-30,29.783061981201172,72.61267852783203
2015-07-31,30.164897918701172,72.40222930908203
2015-08-03,30.5026798248291,73.22883605957031
2015-08-04,30.73031234741211,73.49935913085938
2015-08-05,30.928564071655273,74.53636932373047
2015-08-06,30.781707763671875,74.50630187988281
2015-08-07,30.67156410217285,74.4687271118164
2015-08-10,30.6054744720459,74.46121215820312
2015-08-11,30.458621978759766,74.10804748535156
2015-08-12,30.297067642211914,73.92769622802734
2015-08-13,30.179574966430664,74.23579406738281
2015-08-14,30.289724349975586,74.56641387939453
2015-08-17,30.36316680908203,75.03982543945312
2015-08-18,30.326435089111328,74.97220611572266
2015-08-19,29.944612503051758,74.3860855102539
2015-08-20,29.775724411010742,73.62711334228516
2015-08-21,29.02674102783203,72.32711029052734
2015-08-24,28.182302474975586,69.00568389892578
2015-08-25,27.895925521850586,67.36001586914062
2015-08-26,28.43930435180664,69.50164794921875
2015-08-27,28.8358211517334,70.33575439453125
2015-08-28,28.96799659729004,70.28314971923828
2015-08-31,28.872543334960938,69.83228302001953
2015-09-01,28.453994750976562,68.6299819946289
2015-09-02,28.564130783081055,69.3970947265625
2015-09-03,28.75505828857422,69.76815795898438
2015-09-04,28.285099029541016,68.85185241699219
2015-09-08,28.564130783081055,69.94990539550781
2015-09-09,28.12354850769043,68.78369903564453
2015-09-10,28.211673736572266,68.9578857421875
2015-09-11,28.241291046142578,69.38194274902344
2015-09-14,28.219079971313477,69.06385803222656
2015-09-15,28.51534080505371,69.71514129638672
2015-09-16,28.996774673461914,70.47999572753906
2015-09-17,29.167125701904297,70.70716094970703
2015-09-18,28.870861053466797,70.4648666381836
2015-09-21,29.026384353637695,70.96464538574219
2015-09-22,28.730133056640625,69.94990539550781
2015-09-23,28.707918167114258,69.97262573242188
2015-09-24,28.996774673461914,70.0256576538086
2015-09-25,29.34488296508789,70.78291320800781
